Semestre,clv_Mat,Materia,Turno,Grupo,Lunes,Martes,Miercoles,Jueves,Viernes,Sabado,Salón
8,1813,REDES DE COMPUTADORAS 2,M,1808,,,,,,"11,00 - 3,00",VIRTUAL
8,1810,BASES DE DATOS 2,T,1857,"19,00 - 21,00",,"19,00 - 21,00",,,,A203
8,1917,HABILIDADES DIRECTIVAS,T,1857,,,,,"17,00 - 21,00",,A11205
8,1812,PROGRAMACION MOVIL 1,T,1857,,,,,"17,30 - 22,00",,A204
8,1813,REDES DE COMPUTADORAS 2,T,1857,,"19,00 - 21,00",,"19,00 - 21,00",,,CLOUD
8,1917,HABILIDADES DIRECTIVAS,T,1858,"20,00 - 22,00",,"20,00 - 22,00",,,,A11202
8,1917,HABILIDADES DIRECTIVAS,T,1859,"19,00 - 21,00",,"19,00 - 21,00",,,,A11203
8,1813,REDES DE COMPUTADORAS 2,T,1859,,"19,00 - 21,00",,"19,00 - 21,00",,,A8121
9,406,INTELIGENCIA ARTIFICIAL,M,1907,"11,20 - 12,40",,"11,20 - 12,40",,"11,20 - 12,40",,A11201
9,1908,MINERIA DE DATOS,M,1907,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A203
9,1705,SEGURIDAD INFORMATICA,M,1907,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A203
9,406,INTELIGENCIA ARTIFICIAL,M,1908,,"09,00 - 11,00",,"09,00 - 11,00",,,A211
9,1908,MINERIA DE DATOS,M,1908,,"11,00 - 13,00",,"11,00 - 13,00",,,CCSAL9
9,1705,SEGURIDAD INFORMATICA,M,1908,,"07,00 - 09,00",,"07,00 - 09,00",,,A204
9,406,INTELIGENCIA ARTIFICIAL,M,1909,,"09,00 - 11,00",,"09,00 - 11,00",,,A506
9,1908,MINERIA DE DATOS,M,1909,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A506
9,1705,SEGURIDAD INFORMATICA,M,1909,,"11,00 - 13,00",,"11,00 - 13,00",,,A11202
9,406,INTELIGENCIA ARTIFICIAL,M,1910,"10,00 - 11,20",,"10,00 - 11,20",,"10,00 - 11,20",,A11202
9,1908,MINERIA DE DATOS,M,1910,"11,40 - 13,00",,"11,40 - 13,00",,"11,40 - 13,00",,A203
9,1705,SEGURIDAD INFORMATICA,M,1910,,"09,00 - 11,00",,"09,00 - 11,00",,,A11203
9,406,INTELIGENCIA ARTIFICIAL,T,1957,,"13,00 - 15,00",,"13,00 - 15,00",,,A8118
9,1908,MINERIA DE DATOS,T,1957,"19,00 - 20,20",,"19,00 - 20,20",,"19,00 - 20,20",,CCSAL1
9,1705,SEGURIDAD INFORMATICA,T,1957,,,,,,"9,00 - 1,00",VIRTUAL
9,406,INTELIGENCIA ARTIFICIAL,T,1958,"17,00 - 19,00",,"17,00 - 19,00",,,,A213
9,1908,MINERIA DE DATOS,T,1958,"19,00 - 21,00",,"19,00 - 21,00",,,,A504
9,1705,SEGURIDAD INFORMATICA,T,1958,,,,,,"11,00 - 3,00",VIRTUAL
9,406,INTELIGENCIA ARTIFICIAL,T,1959,"20,00 - 22,00",,"20,00 - 22,00",,,,CLOUD
9,1908,MINERIA DE DATOS,T,1959,,"18,00 - 20,00",,"18,00 - 20,00",,,CCSAL6
9,1705,SEGURIDAD INFORMATICA,T,1959,,,,,,"7,00 - 11,00",VIRTUAL
9,406,INTELIGENCIA ARTIFICIAL,T,1960,"14,00 - 16,00",,"14,00 - 16,00",,,,A8119
9,1908,MINERIA DE DATOS,T,1960,,"19,00 - 21,00",,"19,00 - 21,00",,,A204
9,1705,SEGURIDAD INFORMATICA,T,1960,"19,00 - 21,00",,"19,00 - 21,00",,,,A11205
9,1705,SEGURIDAD INFORMATICA,T,1961,,"18,00 - 20,00",,"18,00 - 20,00",,,A11204
0,1910,GRAFICACION POR COMPUTADORA,M,1007,,,,,,"7,00 - 11,00",VIRTUAL
0,1627,INSTRUMENTACION Y CONTROL,M,1007,,"09,00 - 11,15",,"09,00 - 11,15",,,A8118
0,303,INTERNET DE LAS COSAS,M,1007,"11,00 - 13,00",,"11,00 - 13,00",,,,A505
0,1003,PROYECTO ESCUELA-INDUSTRIA,M,1007,"07,00 - 08,20",,"07,00 - 08,20",,"07,00 - 08,20",,A205
0,13,TEMAS ESPECIALES DE BASES DE DATOS,M,1007,,"07,00 - 09,00",,"07,00 - 09,00",,,A8118
0,171,TEMAS ESPECIALES DE COMPUTACION 2,M,1007,,"07,00 - 09,00",,"07,00 - 09,00",,,A8117
0,308,TEMAS ESPECIALES DE COMPUTACION 6,M,1007,,"09,00 - 11,00",,"09,00 - 11,00",,,A8117
0,310,TEMAS ESPECIALES DE PROGRAMACION 2,M,1007,"07,00 - 08,30",,"07,00 - 08,30",,"07,00 - 08,30",,A11201
0,314,VINCULACION EMPRESARIAL,M,1007,,"09,00 - 11,00",,"09,00 - 11,00",,,A8121
0,1003,PROYECTO ESCUELA-INDUSTRIA,M,1008,"08,30 - 09,50",,"08,30 - 09,50",,"08,30 - 09,50",,A205
0,167,TEMAS ESPECIALES DE COMPUTACION 1,M,1008,,"07,00 - 09,00",,"07,00 - 09,00",,,A205
0,175,TEMAS ESPECIALES DE COMPUTACION 3,M,1008,,"07,00 - 09,00",,"07,00 - 09,00",,,A8120
